id	reg	spec	prismareg	prismaspec
GM0826	70	35	38	23
GM0851	40	35	1	0
GM0879	35	155	1	0
GM1723	0	0	5	9
GM0867	90	40	40	15
GM0738	30	5	13	13
GM0796	305	335	5	0
GM0870	55	55	0	20
GM0748	205	180	7	13
GM0798	35	40	9	16
GM0788	110	300	15	218
GM0766	60	50	5	14
GM1709	40	45	4	3
GM0861	180	365	0	1
GM0777	95	75	0	1
GM1719	60	200	18	28
GM0823	20	10	0	1
GM1674	190	205	19	9
GM0809	40	45	28	37
GM0855	760	875	22	34
GM0779	30	90	11	81
GM0828	120	45	8	3
GM0785	35	20	1	1
GM0797	85	45	41	30
GM0874	15	0	5	7
GM0824	70	50	9	5
GM0758	505	305	28	14
